episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
271,-39.349999999999994,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
272,-28.500000000000025,100,False,True,False,0,"(2, 4)",True,True,False,False,False,False,False,False
273,-37.90000000000002,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
274,-34.00000000000003,100,False,True,False,0,"(4, 4)",False,False,False,True,False,False,False,False
275,-29.900000000000023,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
276,-38.05000000000001,100,False,True,False,0,"(2, 1)",False,False,False,True,False,False,False,False
277,-25.350000000000033,100,False,True,False,0,"(1, 4)",True,False,False,True,False,False,False,False
278,-37.000000000000014,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
279,-29.40000000000002,100,False,True,False,0,"(1, 1)",True,True,False,False,False,False,False,False
280,-33.10000000000002,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
281,-32.80000000000001,100,False,True,False,0,"(2, 6)",True,False,False,False,False,False,False,False
282,-39.2,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
283,-39.30000000000001,100,False,True,False,0,"(2, 6)",True,False,False,False,False,False,False,False
284,-31.150000000000027,100,False,True,False,0,"(1, 6)",False,False,False,False,False,False,False,False
285,-34.40000000000001,100,False,True,False,0,"(5, 5)",True,False,True,False,False,False,False,False
286,-30.300000000000033,100,False,True,False,0,"(3, 5)",True,False,False,False,False,False,False,False
287,-31.00000000000003,100,False,True,False,0,"(4, 6)",False,False,False,True,False,False,False,False
288,-36.15000000000003,100,False,True,False,0,"(3, 6)",False,False,False,False,False,False,False,False
289,-32.30000000000002,100,False,True,False,0,"(1, 1)",False,False,True,False,False,False,False,False
290,-22.150000000000016,100,False,True,False,0,"(6, 5)",False,False,True,True,False,False,False,False
291,-28.300000000000033,100,False,True,False,0,"(3, 1)",False,False,True,False,False,False,False,False
292,-32.10000000000002,100,False,True,False,0,"(6, 4)",False,False,False,False,False,False,False,False
293,-37.65000000000002,100,False,True,False,0,"(4, 1)",False,False,False,False,False,False,False,False
294,-26.40000000000003,100,False,True,False,0,"(5, 5)",False,False,False,True,False,False,False,False
295,-43.25,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
296,-39.55000000000001,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
297,-34.85000000000003,100,False,True,False,0,"(5, 6)",False,False,False,False,False,False,False,False
298,-34.550000000000026,100,False,True,False,0,"(3, 6)",False,False,True,False,False,False,False,False
299,-37.500000000000014,100,False,True,False,0,"(3, 5)",True,True,False,False,False,False,False,False
300,-30.10000000000002,100,False,True,False,0,"(3, 5)",False,False,True,False,False,False,False,False
