episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
218,19.800000000000004,49,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.33698341088258443
219,21.700000000000003,38,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3352984938281715
220,21.0,43,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.33362200135903064
221,17.400000000000002,70,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.33195389135223546
222,20.5,44,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3302941218954743
223,20.3,57,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.32864265128599696
224,14.500000000000004,56,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.326999438029567
225,21.1,41,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3253644408394192
226,22.9,41,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3237376186352221
227,21.4,44,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.322118930542046
228,20.7,40,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.32050833588933575
229,18.299999999999997,34,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.31890579420988907
230,21.99999999999999,41,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3173112652388396
231,19.1,45,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3157247089126454
232,18.7,53,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3141460853680822
233,-9.449999999999992,100,False,True,False,0,"(6, 3)",True,True,False,True,False,False,False,False,0.3125753549412418
234,22.799999999999994,34,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.31101247816653554
235,21.099999999999994,41,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.30945741577570285
236,21.1,41,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3079101286968243
237,-10.699999999999996,100,False,True,False,0,"(2, 4)",True,True,False,True,False,False,False,False,0.3063705780533402
238,13.3,53,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.30483872516307353
239,23.499999999999996,29,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3033145315372582
240,22.199999999999996,37,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3017979588795719
241,23.499999999999993,38,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.30028896908517405
242,19.000000000000004,47,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.2987875242397482
243,21.8,36,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.29729358661854943
244,22.79999999999999,43,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.29580711868545667
245,18.89999999999999,67,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.2943280830920294
246,23.199999999999992,35,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.29285644267656924
247,19.599999999999998,44,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.2913921604631864
248,22.899999999999995,32,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.28993519966087045
249,20.1,43,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.2884855236625661
250,21.5,42,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.28704309604425327
251,21.799999999999997,36,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.285607880564032
252,20.4,46,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.28417984116121187
253,-10.299999999999994,100,False,True,False,0,"(5, 5)",True,True,False,True,False,False,False,False,0.2827589419554058
254,-9.349999999999989,100,False,True,False,0,"(2, 1)",True,True,False,True,False,False,False,False,0.28134514724562876
